== real covers, P+R in 1..=8 (ns/code, best of 3) ==
   P,R  coverage    rows  rows_tbl    av_c4t  av_shape  av_shp64  ORIGINAL   r2g_sub    r6g_64   r6g_256   r6g_512
   1,0  0.000000       3     1.752     0.458     0.126     0.126     0.199     0.224     0.202     0.173     0.189  clickbench-url-1m-gen1-s42.contains.L64.s0.r3
   1,0  0.000000       5     1.734     0.472     0.168     0.141     0.235     0.230     0.208     0.220     0.237  clickbench-url-1m-gen1-s42.contains.L16.s0.r1
   1,0  0.000001      10     1.725     0.462     0.151     0.129     0.229     0.266     0.237     0.185     0.217  clickbench-url-1m-gen1-s42.contains.L32.s0.r3
   1,0  0.000002      22     1.722     0.497     0.204     0.153     0.271     0.248     0.248     0.208     0.197  clickbench-url-1m-gen1-s42.contains.L16.s0.r4
   1,0  0.000002      27     1.741     0.480     0.158     0.137     0.232     0.232     0.228     0.214     0.206  clickbench-url-1m-gen1-s42.contains.L64.s0.r4
   1,0  0.000005      52     1.715     0.496     0.143     0.122     0.242     0.223     0.250     0.213     0.212  clickbench-url-1m-gen1-s42.contains.L32.s1e-5.r1
   1,0  0.000007      70     1.733     0.486     0.158     0.137     0.225     0.233     0.230     0.194     0.231  clickbench-url-1m-gen1-s42.contains.L64.s0.r0
   1,0  0.000014     151     1.732     0.453     0.146     0.133     0.231     0.227     0.200     0.177     0.205  clickbench-url-1m-gen1-s42.contains.L64.s1e-5.r2
   1,0  0.000024     263     1.702     0.474     0.174     0.161     0.274     0.263     0.266     0.209     0.217  clickbench-url-1m-gen1-s42.contains.L8.s0.r4
   1,0  0.000075     817     1.706     0.540     0.249     0.191     0.247     0.227     0.238     0.223     0.210  clickbench-url-1m-gen1-s42.contains.L32.s1e-3.r2
   1,0  0.000081     874     1.715     0.498     0.177     0.159     0.242     0.240     0.239     0.253     0.260  clickbench-url-1m-gen1-s42.contains.L64.s1e-3.r0
   2,0  0.000012     126     1.719     0.471     0.194     0.195     0.294     0.287     0.248     0.196     0.236  clickbench-url-1m-gen1-s42.contains.L32.s1e-4.r0
   0,1  0.000028     309     1.716     0.501     0.190     0.162     0.250     0.234     0.229     0.195     0.232  clickbench-url-1m-gen1-s42.contains.L4.s0.r3
   0,1  0.000091     988     1.706     0.494     0.175     0.159     0.231     0.253     0.244     0.228     0.266  clickbench-url-1m-gen1-s42.contains.L8.s1e-4.r1
   0,1  0.000156    1688     1.725     0.537     0.251     0.225     0.363     0.324     0.354     0.296     0.321  clickbench-url-1m-gen1-s42.contains.L32.s1e-3.r1
   2,0  0.005445   59051     1.732     0.891     0.593     0.655     0.530     0.503     0.554     0.494     0.510  clickbench-url-1m-gen1-s42.contains.L16.s1e-1.r3
   1,1  0.000017     181     1.750     0.483     0.208     0.193     0.348     0.401     0.396     0.328     0.396  clickbench-url-1m-gen1-s42.contains.L64.s1e-4.r0
   3,0  0.000023     245     1.751     0.546     0.311     0.254     0.306     0.357     0.330     0.286     0.392  clickbench-url-1m-gen1-s42.contains.L8.s1e-4.r0
   1,1  0.000053     578     1.803     0.577     0.283     0.267     0.378     0.444     0.443     0.360     0.384  clickbench-url-1m-gen1-s42.contains.L8.s0.r0
   3,0  0.000257    2776     1.737     0.570     0.315     0.291     0.340     0.365     0.402     0.333     0.350  clickbench-url-1m-gen1-s42.contains.L32.s1e-3.r3
   3,0  0.005459   59199     1.754     0.899     0.634     0.685     0.565     0.548     0.557     0.519     0.547  clickbench-url-1m-gen1-s42.contains.L16.s1e-1.r4
