== real covers, P+R in 1..=8 (ns/code, best of 3) ==
   P,R  coverage    rows  rows_tbl    av_c4t  av_shape  av_shp64  ORIGINAL   r2g_sub    r6g_64   r6g_256   r6g_512
   1,0  0.000000       3     1.691     0.466     0.159     0.153     0.252     0.247     0.224     0.178     0.202  clickbench-url-1m-gen1-s42.contains.L64.s0.r3
   1,0  0.000000       5     1.668     0.449     0.152     0.141     0.255     0.261     0.231     0.206     0.228  clickbench-url-1m-gen1-s42.contains.L16.s0.r1
   1,0  0.000001      10     1.677     0.450     0.129     0.110     0.215     0.227     0.214     0.193     0.206  clickbench-url-1m-gen1-s42.contains.L32.s0.r3
   1,0  0.000002      22     1.724     0.468     0.143     0.122     0.228     0.236     0.212     0.191     0.229  clickbench-url-1m-gen1-s42.contains.L16.s0.r4
   1,0  0.000002      27     1.686     0.451     0.134     0.128     0.227     0.239     0.227     0.209     0.227  clickbench-url-1m-gen1-s42.contains.L64.s0.r4
   1,0  0.000005      52     1.669     0.458     0.154     0.134     0.243     0.206     0.216     0.210     0.231  clickbench-url-1m-gen1-s42.contains.L32.s1e-5.r1
   1,0  0.000007      70     1.692     0.467     0.141     0.121     0.229     0.264     0.217     0.208     0.237  clickbench-url-1m-gen1-s42.contains.L64.s0.r0
   1,0  0.000014     151     1.675     0.462     0.155     0.143     0.212     0.217     0.184     0.206     0.226  clickbench-url-1m-gen1-s42.contains.L64.s1e-5.r2
   1,0  0.000024     263     1.659     0.442     0.147     0.134     0.226     0.265     0.236     0.188     0.217  clickbench-url-1m-gen1-s42.contains.L8.s0.r4
   1,0  0.000075     817     1.659     0.479     0.152     0.130     0.237     0.211     0.183     0.169     0.202  clickbench-url-1m-gen1-s42.contains.L32.s1e-3.r2
   1,0  0.000081     874     1.641     0.542     0.210     0.174     0.268     0.234     0.230     0.219     0.231  clickbench-url-1m-gen1-s42.contains.L64.s1e-3.r0
   2,0  0.000012     126     1.671     0.464     0.136     0.162     0.258     0.250     0.241     0.201     0.211  clickbench-url-1m-gen1-s42.contains.L32.s1e-4.r0
   0,1  0.000028     309     1.669     0.441     0.151     0.125     0.259     0.213     0.231     0.208     0.241  clickbench-url-1m-gen1-s42.contains.L4.s0.r3
   0,1  0.000091     988     1.662     0.499     0.168     0.147     0.279     0.227     0.238     0.213     0.247  clickbench-url-1m-gen1-s42.contains.L8.s1e-4.r1
   0,1  0.000156    1688     1.716     0.582     0.316     0.279     0.357     0.305     0.316     0.283     0.315  clickbench-url-1m-gen1-s42.contains.L32.s1e-3.r1
   2,0  0.005445   59051     1.702     1.002     0.750     0.636     0.485     0.485     0.482     0.476     0.483  clickbench-url-1m-gen1-s42.contains.L16.s1e-1.r3
   1,1  0.000017     181     1.715     0.469     0.150     0.140     0.350     0.262     0.308     0.245     0.263  clickbench-url-1m-gen1-s42.contains.L64.s1e-4.r0
   3,0  0.000023     245     1.658     0.435     0.140     0.137     0.252     0.270     0.248     0.284     0.266  clickbench-url-1m-gen1-s42.contains.L8.s1e-4.r0
   1,1  0.000053     578     1.661     0.450     0.159     0.148     0.375     0.321     0.309     0.266     0.276  clickbench-url-1m-gen1-s42.contains.L8.s0.r0
   3,0  0.000257    2776     1.658     0.583     0.278     0.238     0.313     0.307     0.289     0.267     0.291  clickbench-url-1m-gen1-s42.contains.L32.s1e-3.r3
   3,0  0.005459   59199     1.682     0.982     0.768     0.605     0.461     0.461     0.496     0.434     0.453  clickbench-url-1m-gen1-s42.contains.L16.s1e-1.r4
   2,1  0.000207    2198     1.653     0.560     0.283     0.227     0.415     0.355     0.352     0.307     0.357  clickbench-url-1m-gen1-s42.contains.L32.s1e-5.r2
   2,1  0.001732   18586     1.650     0.800     0.499     0.382     0.438     0.360     0.403     0.393     0.443  clickbench-url-1m-gen1-s42.contains.L8.s1e-2.r1
   2,1  0.006996   75868     1.601     0.858     0.662     0.558     0.524     0.431     0.445     0.461     0.477  clickbench-url-1m-gen1-s42.contains.L16.s1e-1.r2
   2,1  0.012864  139515     1.557     0.990     0.747     0.749     0.586     0.486     0.523     0.487     0.518  clickbench-url-1m-gen1-s42.contains.L16.s1e-1.r1
   5,0  0.000162    1545     1.678     0.551     0.294     0.289     0.369     0.398     0.359     0.337     0.386  clickbench-url-1m-gen1-s42.contains.L4.s0.r1
   1,2  0.001062   11240     1.902     0.835     0.528     0.393     0.465     0.415     0.421     0.417     0.461  clickbench-url-1m-gen1-s42.contains.L4.s1e-4.r0
   3,1  0.006447   69888     1.508     0.928     0.707     0.646     0.551     0.474     0.477     0.449     0.473  clickbench-url-1m-gen1-s42.contains.L8.s1e-1.r3
   1,2  0.012994  140839     1.565     1.062     0.845     0.754     0.584     0.519     0.522     0.507     0.521  clickbench-url-1m-gen1-s42.contains.L8.s1e-1.r1
   2,2  0.000036     386     1.679     0.510     0.213     0.196     0.432     0.363     0.383     0.357     0.402  clickbench-url-1m-gen1-s42.contains.L16.s1e-4.r0
   0,3  0.007810   84694     1.646     1.217     0.992     0.901     0.639     0.597     0.612     0.567     0.598  clickbench-url-1m-gen1-s42.contains.L32.s1e-1.r1
   2,2  0.031059  336043     1.484     1.623     1.415     1.455     0.822     0.757     0.746     0.722     0.751  clickbench-url-1m-gen1-s42.contains.L16.s0.3.r3
   0,3  0.040396  401060     1.395     2.266     2.074     1.791     0.890     0.829     0.817     0.825     0.822  clickbench-url-1m-gen1-s42.contains.L16.s0.3.r4
   1,3  0.001502   16091     1.694     0.854     0.627     0.444     0.524     0.451     0.470     0.467     0.497  clickbench-url-1m-gen1-s42.contains.L4.s1e-2.r1
   3,3  0.031092  336192     1.314     1.659     1.645     1.642     0.889     0.792     0.764     0.763     0.790  clickbench-url-1m-gen1-s42.contains.L16.s0.3.r0
   5,2  0.044474  481961     1.217     1.527     1.499     1.516     0.836     0.760     0.772     0.766     0.813  clickbench-url-1m-gen1-s42.contains.L8.s0.5.r1
   8,1  0.044430  481733     1.210     1.495     1.492     1.492     0.812     0.772     0.796     0.771     0.747  clickbench-url-1m-gen1-s42.contains.L16.s0.5.r0
   3,4  0.001800   19422     1.679     0.994     0.991     1.021     0.529     0.496     0.496     0.486     0.511  clickbench-url-1m-gen1-s42.contains.L8.s1e-2.r3
   4,4  0.031524  339965     1.270     1.742     1.556     1.540     0.873     0.854     0.820     0.802     0.790  clickbench-url-1m-gen1-s42.contains.L8.s1e-2.r2
   2,6  0.052599  371331     1.385     2.832     2.787     2.816     1.308     1.328     1.078     1.026     1.051  clickbench-url-1m-gen1-s42.contains.L4.s1e-1.r1
   7,4  0.000198    2142     1.715     0.608     0.581     0.570     0.539     0.526     0.494     0.500     0.598  clickbench-url-1m-gen1-s42.contains.L8.s1e-3.r0
   7,4  0.031815  343258     1.282     1.645     1.642     1.630     0.880     0.864     0.835     0.821     0.883  clickbench-url-1m-gen1-s42.contains.L4.s0.3.r2
   6,5  0.040612  402388     1.436     2.287     2.246     2.235     1.021     0.986     0.971     0.957     0.995  clickbench-url-1m-gen1-s42.contains.L8.s0.3.r1
   5,6  0.007606   81910     1.519     1.197     1.206     1.169     0.680     0.633     0.611     0.624     0.683  clickbench-url-1m-gen1-s42.contains.L4.s1e-1.r4
   8,7  0.031336  335383     1.309     1.718     1.719     1.719     1.014     0.976     0.942     0.921     0.879  clickbench-url-1m-gen1-s42.contains.L8.s0.3.r0
  17,5  0.001162   12169     1.706     0.807     0.767     0.742     0.733     0.736     0.695     0.675     0.697  clickbench-url-1m-gen1-s42.contains.L4.s1e-2.r2
  20,5  0.001077   11580     1.678     0.824     0.804     0.804     0.817     0.789     0.737     0.729     0.770  clickbench-url-1m-gen1-s42.contains.L4.s1e-2.r4
  26,6  0.007567   72902     1.662     1.620     1.594     1.588     1.124     1.079     1.030     1.070     1.021  clickbench-url-1m-gen1-s42.contains.L2.s1e-2.r2
