== real covers, P+R in 1..=8 (ns/code, best of 3) ==
   P,R  coverage    rows  rows_tbl    av_c4t  av_shape  ORIGINAL   r2g_sub    r6g_64   r6g_256   r6g_512
   1,0  0.000000       3     1.697     0.620     0.233     0.267     0.244     0.261     0.225     0.237  clickbench-url-1m-gen1-s42.contains.L64.s0.r3
   1,0  0.000000       5     1.659     0.588     0.166     0.210     0.226     0.213     0.180     0.202  clickbench-url-1m-gen1-s42.contains.L16.s0.r1
   1,0  0.000001      10     1.654     0.589     0.184     0.226     0.227     0.219     0.190     0.222  clickbench-url-1m-gen1-s42.contains.L32.s0.r3
   1,0  0.000002      22     1.673     0.616     0.213     0.255     0.234     0.246     0.232     0.224  clickbench-url-1m-gen1-s42.contains.L16.s0.r4
   1,0  0.000002      27     1.655     0.615     0.172     0.210     0.205     0.242     0.201     0.203  clickbench-url-1m-gen1-s42.contains.L64.s0.r4
   1,0  0.000005      52     1.662     0.608     0.211     0.246     0.256     0.272     0.225     0.214  clickbench-url-1m-gen1-s42.contains.L32.s1e-5.r1
   1,0  0.000007      70     1.719     0.658     0.226     0.274     0.225     0.204     0.193     0.216  clickbench-url-1m-gen1-s42.contains.L64.s0.r0
   1,0  0.000014     151     1.663     0.636     0.194     0.248     0.261     0.227     0.195     0.198  clickbench-url-1m-gen1-s42.contains.L64.s1e-5.r2
   1,0  0.000024     263     1.651     0.645     0.211     0.227     0.219     0.206     0.231     0.248  clickbench-url-1m-gen1-s42.contains.L8.s0.r4
   1,0  0.000075     817     1.671     0.621     0.217     0.303     0.290     0.223     0.198     0.234  clickbench-url-1m-gen1-s42.contains.L32.s1e-3.r2
   1,0  0.000081     874     1.650     0.711     0.246     0.276     0.253     0.258     0.235     0.252  clickbench-url-1m-gen1-s42.contains.L64.s1e-3.r0
   2,0  0.000012     126     1.681     0.620     0.196     0.223     0.214     0.247     0.264     0.255  clickbench-url-1m-gen1-s42.contains.L32.s1e-4.r0
   0,1  0.000028     309     1.666     0.653     0.237     0.207     0.232     0.246     0.204     0.250  clickbench-url-1m-gen1-s42.contains.L4.s0.r3
   0,1  0.000091     988     1.661     0.690     0.316     0.311     0.292     0.277     0.248     0.226  clickbench-url-1m-gen1-s42.contains.L8.s1e-4.r1
   0,1  0.000156    1688     1.655     0.697     0.305     0.322     0.289     0.353     0.251     0.311  clickbench-url-1m-gen1-s42.contains.L32.s1e-3.r1
   2,0  0.005445   59051     1.672     0.978     0.600     0.490     0.466     0.456     0.475     0.450  clickbench-url-1m-gen1-s42.contains.L16.s1e-1.r3
   1,1  0.000017     181     1.647     0.646     0.266     0.321     0.301     0.257     0.236     0.332  clickbench-url-1m-gen1-s42.contains.L64.s1e-4.r0
   3,0  0.000023     245     1.651     0.720     0.259     0.292     0.295     0.326     0.238     0.241  clickbench-url-1m-gen1-s42.contains.L8.s1e-4.r0
   1,1  0.000053     578     1.662     0.650     0.253     0.329     0.320     0.303     0.287     0.308  clickbench-url-1m-gen1-s42.contains.L8.s0.r0
   3,0  0.000257    2776     1.645     0.675     0.314     0.379     0.352     0.364     0.334     0.369  clickbench-url-1m-gen1-s42.contains.L32.s1e-3.r3
   3,0  0.005459   59199     1.742     0.984     0.639     0.508     0.524     0.511     0.468     0.548  clickbench-url-1m-gen1-s42.contains.L16.s1e-1.r4
   2,1  0.000207    2198     1.739     0.765     0.447     0.430     0.433     0.398     0.363     0.360  clickbench-url-1m-gen1-s42.contains.L32.s1e-5.r2
   2,1  0.001732   18586     1.667     0.861     0.541     0.422     0.426     0.410     0.411     0.465  clickbench-url-1m-gen1-s42.contains.L8.s1e-2.r1
