== real covers, P+R in 1..=8 (ns/code, best of 3) ==
   P,R  coverage    rows  a1t_rows b1t_codes   c4p_512  c4po_512   c4t_512  r2g_2cmp   r2g_sub   r6g_256   r6g_512
   1,0  0.000000       3     1.643     0.965     2.234     0.187     0.447     0.176     0.166     0.169     0.187  clickbench-url-1m-gen1-s42.contains.L64.s0.r3
   1,0  0.000000       4     1.578     0.947     2.203     0.228     0.462     0.200     0.170     0.254     0.171  clickbench-url-1m-gen1-s42.contains.L32.s0.r0
   1,0  0.000000       5     1.570     0.936     2.221     0.222     0.477     0.239     0.188     0.155     0.162  clickbench-url-1m-gen1-s42.contains.L16.s0.r1
   1,0  0.000000       5     1.573     0.947     2.262     0.218     0.452     0.194     0.185     0.158     0.215  clickbench-url-1m-gen1-s42.contains.L32.s0.r2
   1,0  0.000001      10     1.583     0.952     2.241     0.221     0.490     0.193     0.180     0.154     0.167  clickbench-url-1m-gen1-s42.contains.L32.s0.r3
   1,0  0.000001      15     1.573     0.952     2.205     0.183     0.453     0.171     0.146     0.133     0.150  clickbench-url-1m-gen1-s42.contains.L32.s0.r4
   1,0  0.000002      22     1.602     0.952     2.250     0.260     0.503     0.214     0.196     0.178     0.204  clickbench-url-1m-gen1-s42.contains.L16.s0.r4
   1,0  0.000002      23     1.581     0.953     2.226     0.319     0.693     0.210     0.178     0.170     0.198  clickbench-url-1m-gen1-s42.contains.L32.s1e-5.r0
   1,0  0.000002      27     1.583     0.947     2.224     0.238     0.491     0.214     0.222     0.186     0.195  clickbench-url-1m-gen1-s42.contains.L64.s0.r4
   1,0  0.000003      31     1.608     1.000     2.243     0.238     0.478     0.201     0.228     0.202     0.201  clickbench-url-1m-gen1-s42.contains.L32.s0.r1
   1,0  0.000005      52     1.593     0.952     2.333     0.275     0.519     0.257     0.224     0.198     0.203  clickbench-url-1m-gen1-s42.contains.L32.s1e-5.r1
   1,0  0.000006      60     1.573     0.959     2.266     0.206     0.445     0.232     0.181     0.160     0.167  clickbench-url-1m-gen1-s42.contains.L8.s0.r2
   1,0  0.000007      70     1.582     0.974     2.277     0.281     0.514     0.201     0.186     0.172     0.179  clickbench-url-1m-gen1-s42.contains.L64.s0.r0
   1,0  0.000013     140     1.563     0.959     2.236     0.271     0.515     0.242     0.231     0.233     0.242  clickbench-url-1m-gen1-s42.contains.L16.s0.r0
   1,0  0.000014     151     1.586     0.973     2.247     0.253     0.511     0.259     0.231     0.208     0.209  clickbench-url-1m-gen1-s42.contains.L64.s1e-5.r2
   1,0  0.000022     235     1.587     0.965     2.246     0.273     0.525     0.269     0.246     0.214     0.233  clickbench-url-1m-gen1-s42.contains.L64.s1e-5.r1
