
== synth covers: n=16M, avg_row=11, density=1e-5 (ns/code, best of 3) ==
shape P,R   a1t_rows b1t_codes   c4p_512  c4po_512   c4t_512  r2g_2cmp   r2g_sub   r6g_256   r6g_512
(1,0)          1.851     0.964     2.245     0.286     0.513     0.247     0.235     0.213     0.230
(0,1)          1.853     0.985     2.243     0.309     0.526     0.223     0.217     0.192     0.226
(2,0)          1.826     0.969     3.152     0.346     0.520     0.228     0.222     0.223     0.231
(1,1)          1.843     0.981     3.204     0.365     0.508     0.243     0.232     0.257     0.267
(0,2)          1.870     0.974     3.122     0.383     0.530     0.247     0.250     0.253     0.243
(4,0)          1.872     0.994     3.167     0.502     0.533     0.286     0.289     0.276     0.276
(2,2)          1.838     0.988     4.135     0.529     0.524     0.283     0.273     0.307     0.311
(0,4)          1.839     0.984     4.416     0.593     0.544     0.328     0.326     0.307     0.317
(8,0)          1.823     1.013     3.564     0.837     0.523     0.315     0.324     0.320     0.323
(6,2)          1.849     0.987     5.408     0.874     0.533     0.352     0.353     0.369     0.346
(4,4)          1.928     0.989     6.311     0.911     0.526     0.367     0.362     0.409     0.380
(2,6)          1.840     0.967     7.544     0.953     0.531     0.401     0.409     0.454     0.387
(0,8)          2.112     1.262     5.808     1.008     0.546     0.428     0.416     0.415     0.375

== synth covers: n=16M, avg_row=11, density=1e-3 (ns/code, best of 3) ==
shape P,R   a1t_rows b1t_codes   c4p_512  c4po_512   c4t_512  r2g_2cmp   r2g_sub   r6g_256   r6g_512
(1,0)          1.854     1.029     2.746     0.746     1.282     0.318     0.306     0.310     0.345
(0,1)          1.858     1.049     2.741     0.742     1.293     0.304     0.298     0.299     0.342
(2,0)          1.843     1.065     3.661     0.815     1.287     0.296     0.287     0.315     0.363
(1,1)          1.839     1.023     3.887     0.888     1.320     0.325     0.320     0.350     0.395
(0,2)          1.850     1.026     3.666     0.823     1.318     0.315     0.308     0.318     0.326
(4,0)          1.835     1.021     3.931     0.990     1.249     0.322     0.307     0.327     0.364
(2,2)          1.837     1.031     4.681     0.985     1.270     0.343     0.335     0.384     0.392
(0,4)          1.865     1.032     4.937     1.051     1.294     0.376     0.375     0.376     0.388
(8,0)          1.815     1.020     4.094     1.302     1.315     0.388     0.369     0.397     0.416
(6,2)          1.817     1.020     5.974     1.328     1.256     0.403     0.397     0.466     0.442
(4,4)          1.813     1.031     6.896     1.404     1.285     0.429     0.422     0.470     0.460
(2,6)          1.820     1.043     7.852     1.427     1.293     0.440     0.441     0.487     0.469
(0,8)          1.837     1.032     6.086     1.462     1.285     0.453     0.466     0.465     0.450

== synth covers: n=16M, avg_row=11, density=1e-2 (ns/code, best of 3) ==
shape P,R   a1t_rows b1t_codes   c4p_512  c4po_512   c4t_512  r2g_2cmp   r2g_sub   r6g_256   r6g_512
(1,0)          1.790     1.277     3.326     1.426     2.348     0.587     0.564     0.595     0.531
(0,1)          1.813     1.282     3.371     1.402     2.354     0.594     0.575     0.565     0.529
(2,0)          1.814     1.273     4.244     1.411     2.354     0.570     0.570     0.607     0.557
(1,1)          1.827     1.284     4.299     1.444     2.319     0.572     0.579     0.623     0.609
(0,2)          1.808     1.295     4.183     1.446     2.320     0.584     0.574     0.608     0.550
(4,0)          1.800     1.279     4.322     1.581     2.342     0.595     0.593     0.606     0.576
(2,2)          1.801     1.284     5.266     1.601     2.351     0.610     0.598     0.673     0.603
(0,4)          1.819     1.297     5.492     1.657     2.497     0.652     0.648     0.657     0.660
(8,0)          1.845     1.313     4.593     1.934     2.325     0.645     0.637     0.673     0.637
(6,2)          1.810     1.297     6.501     1.978     2.367     0.684     0.682     0.749     0.661
(4,4)          1.823     1.304     7.545     2.018     2.429     0.721     0.675     0.732     0.668
(2,6)          1.828     1.317     8.507     2.113     2.389     0.716     0.710     0.799     0.679
(0,8)          1.843     1.323     6.705     2.108     2.392     0.747     0.716     0.739     0.680

== synth covers: n=16M, avg_row=11, density=5e-2 (ns/code, best of 3) ==
shape P,R   a1t_rows b1t_codes   c4p_512  c4po_512   c4t_512  r2g_2cmp   r2g_sub   r6g_256   r6g_512
(1,0)          1.726     2.076     4.065     2.104     3.021     1.255     1.266     0.997     0.917
(0,1)          1.775     2.090     4.107     2.145     3.062     1.343     1.275     0.960     0.919
(2,0)          1.744     2.095     4.949     2.279     3.094     1.302     1.308     1.018     0.972
(1,1)          1.739     2.082     5.019     2.207     3.177     1.346     1.321     1.017     1.048
(0,2)          1.734     2.096     5.633     2.271     3.086     1.395     1.357     1.047     0.965
(4,0)          1.736     2.121     5.146     2.348     3.082     1.309     1.293     1.002     0.964
(2,2)          1.757     2.075     6.026     2.319     3.022     1.318     1.313     1.041     0.993
(0,4)          1.712     2.053     6.215     2.403     3.050     1.358     1.336     1.032     0.977
(8,0)          1.742     2.070     5.372     2.682     3.059     1.364     1.360     1.055     1.018
(6,2)          1.838     2.092     7.154     2.668     3.047     1.391     1.424     1.141     1.045
(4,4)          1.723     2.135     8.206     2.779     3.054     1.400     1.389     1.104     1.048
(2,6)          1.733     2.084     9.199     2.778     3.029     1.391     1.386     1.143     1.045
(0,8)          1.733     2.048     7.380     2.794     3.027     1.427     1.379     1.106     1.061
